"Management Reference","Live Zoho Code","Account Name","Zoho Account Type","Status","Parent Account","Account Origin","Live Zoho Description","Governed Brief Description","Posting Control","Federal Tax Preparer Rollup","Kansas Handoff","Management Reporting Group"
"1300","","Inventory Asset","stock","Active","","Zoho system locked","An account which tracks the value of goods in your inventory.","Zoho inventory control retained for a future merchandise fact pattern.","No-post under the current managed-service model.","Balance sheet and Schedule C Part III only if inventory is triggered.","No current Kansas implication; re-review sales/property tax if inventory arises.","Inventory control"
"1500","","Furniture and Equipment","fixed_asset","Active","","Zoho seeded locked","Purchases of furniture and equipment for your office that can be used for a long period of time usually exceeding one year can be tracked with this account.","Long-lived tangible business equipment and furniture.","Post only with asset-register record, approval, and placed-in-service evidence.","Balance sheet; fixed-asset register and Form 4562 review.","Kansas K-120EX and Johnson County property-rendition review.","Fixed assets"
"2000","","Accounts Payable","accounts_payable","Active","","Zoho system locked","This is an account of all the money which you owe to others like a pending bill payment to a vendor,etc.","Approved vendor obligations not yet paid.","Use only through approved vendor-bill and payment workflows.","Balance sheet; accounting-method and expense-cutoff reconciliation.","Supports federal-to-K-40 reconciliation.","Operating liabilities"
"2110","","Employee Reimbursements","other_current_liability","Active","","Zoho system locked","This account can be used to track the reimbursements that are due to be paid out to employees.","Approved reimbursements payable to actual employees.","No-post until an employee and approved reimbursement policy exist.","Balance sheet; employee accountable-plan/payroll review.","No direct Kansas line; payroll treatment only if employees exist.","Operating liabilities"
"2120","","Opening Balance Adjustments","other_current_liability","Active","","Zoho system locked","This account will hold the difference in the debits and credits entered during the opening balance.","Zoho opening-balance difference control.","No-post after controlled opening-balance setup; investigate any balance.","Balance sheet reconciliation; never a tax-return category.","No direct Kansas line; reconcile before return preparation.","System controls"
"2130","2130","Due to Owner - Substantiated Business Costs","other_current_liability","Active","","Sylvara custom","Short-term reimbursement payable for documented owner-paid business costs; use a separate liability for bona fide owner financing.","Short-term reimbursement payable for documented owner-paid business costs.","Require receipt, business purpose, allocation, approval, and repayment intent; use a separate account for a bona fide owner loan.","Balance sheet; underlying approved expense or asset drives tax treatment.","Underlying federal result generally flows to K-40; owner loan principal is not income.","Owner-related liabilities"
"2140","","Tax Payable","other_current_liability","Active","","Zoho system locked","The amount of money which you owe to your tax authority is recorded under the tax payable account. This amount is a sum of your outstanding in taxes and the tax charged on sales.","Customer-collected and other approved taxes payable to a taxing authority.","Reconcile tax engine, invoices, returns, payments, and jurisdiction detail; never net collected sales tax into revenue.","Balance sheet; not a Schedule C expense when collected from customers.","Kansas sales/use-tax liability and return reconciliation.","Tax liabilities"
"2150","","Unearned Revenue","other_current_liability","Active","","Zoho system locked","A liability account that reports amounts received in advance of providing goods or services. When the goods or services are provided, this account balance is decreased and a revenue account is increased.","Customer consideration received before the related service is earned under the approved book policy.","Maintain contract, service period, recognition, and accounting-method reconciliation.","Balance sheet; timing depends on approved book and federal accounting methods.","Supports federal-to-K-40 and Kansas sales-tax reconciliation.","Operating liabilities"
"2500","","Dimension Adjustments","other_liability","Active","","Zoho system locked","This adjustment account tracks the transfers between different dimensions like tags, branches.","Zoho dimension-transfer control.","System workflow only; investigate and clear unsupported activity.","Balance sheet reconciliation; never a tax-return category.","No direct Kansas line; reconcile before return preparation.","System controls"
"3000","","Owner's Equity","equity","Active","","Zoho system locked","The owners rights to the assets of a company can be quantified in the owner''s equity account.","Zoho owner-capital control for the disregarded entity.","Use approved contribution and drawing children; no direct expense posting.","Owner equity; not Schedule C income or expense.","Owner-return basis/capital support; no direct K-40 line.","Owner equity"
"3010","3010","Owner Contributions","equity","Active","Owner's Equity","Sylvara custom","Cash property or substantiated business costs contributed by the owner when repayment is not intended.","Owner cash, property, or substantiated business costs contributed without repayment intent.","Require source, business purpose, value/basis, and contribution evidence.","Owner equity; underlying approved expense or asset drives tax treatment.","Owner-return basis/capital support; no direct K-40 expense.","Owner equity"
"3020","","Drawings","equity","Active","","Zoho system locked","The money withdrawn from a business by its owner can be tracked with this account.","Owner withdrawals and owner personal taxes paid by Sylvara.","Never classify owner federal/Kansas estimates, self-employment tax, or personal spending as business expense.","Owner equity; not Schedule C expense.","Owner Kansas estimated tax is an owner-return item.","Owner equity"
"3090","","Opening Balance Offset","equity","Active","","Zoho system locked","This is an account where you can record the balance from your previous years earning or the amount set aside for some activities. It is like a buffer account for your funds.","Zoho opening-balance equity control.","No-post after controlled setup; investigate any balance.","Equity reconciliation; never a tax-return category.","No direct Kansas line; reconcile before return preparation.","System controls"
"3990","","Retained Earnings","equity","Active","","Zoho system locked","The earnings of your company which are not distributed among the share holders is accounted as retained earnings.","Zoho accumulated earnings control retained for system reporting.","System-generated/locked; do not post ordinary activity directly.","Equity reconciliation; Schedule C reports current business result, not this balance.","No direct Kansas line; reconcile to prior returns.","Owner equity"
"4000","4000","Sales","income","Active","","Zoho system locked","The income from the sales in your business is recorded under the sales account.","Zoho invoice-revenue root for core service receipts.","No-post parent; use approved service-revenue children.","Schedule C line 1 gross receipts or sales.","Federal result flows to K-40; Kansas answering-service sales-tax review.","Operating revenue"
"4100","4100","Managed Reception Service Revenue","income","Active","Sales","Sylvara custom","Parent for approved managed inbound receptionist service revenue.","Reporting parent for managed receptionist service revenue.","No-post parent; use approved revenue children.","Schedule C line 1 gross receipts or sales.","Federal result flows to K-40; Kansas answering-service sales-tax review.","Core service revenue"
"4110","4110","After-Hours Managed Reception Revenue","income","Active","Managed Reception Service Revenue","Sylvara custom","Revenue earned from approved after-hours managed reception coverage.","Approved after-hours managed reception revenue.","Require contract, invoice, service period, and sales-tax item evidence.","Schedule C line 1 gross receipts or sales.","Federal result flows to K-40; Kansas answering-service sales-tax review.","Core service revenue"
"4120","4120","Overflow Managed Reception Revenue","income","Active","Managed Reception Service Revenue","Sylvara custom","Revenue earned from approved overflow managed reception coverage.","Approved overflow managed reception revenue.","Require contract, invoice, service period, and sales-tax item evidence.","Schedule C line 1 gross receipts or sales.","Federal result flows to K-40; Kansas answering-service sales-tax review.","Core service revenue"
"4200","4200","Implementation and Onboarding Revenue","income","Active","Sales","Sylvara custom","Parent for approved initial setup and bounded implementation revenue.","Reporting parent for approved implementation and onboarding revenue.","No-post parent; use approved revenue children.","Schedule C line 1 gross receipts or sales.","Federal result flows to K-40; Kansas contract/item sales-tax review.","Implementation revenue"
"4210","4210","Setup and Launch Revenue","income","Active","Implementation and Onboarding Revenue","Sylvara custom","Revenue for approved customer configuration testing onboarding and launch work.","Approved setup, testing, onboarding, and launch revenue.","Require contract, invoice, service period, and sales-tax item evidence.","Schedule C line 1 gross receipts or sales.","Federal result flows to K-40; Kansas contract/item sales-tax review.","Implementation revenue"
"4500","4500","Interest Income","income","Active","","Zoho system locked","A percentage of your balances and deposits are given as interest to you by your banks and financial institutions. This interest is recorded into the interest income account.","Zoho root for interest earned on business funds.","Map by source account and information statement; do not apply one default.","Schedule C line 6 for qualifying business interest or Schedule B/return-level review.","K-40 and possible local-intangibles workpaper; source-specific review.","Interest income"
"4510","4510","Bank and Credit Union Interest","income","Active","Interest Income","Sylvara custom","Interest earned on business bank or credit-union accounts; classify by source for Schedule C or return-level reporting.","Interest earned on business bank or credit-union accounts.","Reconcile each source to financial-institution reporting.","Operating-account interest may be Schedule C line 6; savings/certificate interest may be Schedule B/return-level.","K-40 and possible local-intangibles workpaper; source-specific review.","Interest income"
"4520","4520","Late Fee Income","income","Active","","Zoho system locked","Any late fee income is recorded into the late fee income account. The late fee is levied when the payment for an invoice is not received by the due date.","Contractually authorized customer late-fee income.","Use only under an approved contract and return/sales-tax treatment.","Schedule C line 1 or line 6 based on source facts.","Federal result flows to K-40; Kansas taxability/finance-charge review.","Other operating income"
"4590","4590","Other Charges","income","Active","","Zoho system locked","Miscellaneous charges like adjustments made to the invoice can be recorded in this account. Catch-all for non-operating income not tied to core services.","Zoho invoice-charge control restricted to an approved charge type.","Do not use as an unidentified catch-all.","Schedule C line 1 or line 6 based on source facts.","Federal result flows to K-40; Kansas invoice-item tax review.","Other operating income"
"4600","","General Income","income","Active","","Zoho system locked","A general category of account where you can record any income which cannot be recorded into any other category.","Generic income control restricted from routine use.","Resolve the source and use a named account before close.","Schedule C line 1 or line 6 based on source facts.","Federal result flows to K-40; source-specific Kansas review.","Other operating income"
"4700","","Shipping Charge","income","Active","","Zoho system locked","Shipping charges made to the invoice will be recorded in this account.","Zoho shipping control retained for a future physical-delivery workflow.","No-post without an approved physical-delivery workflow.","Schedule C line 1 if triggered.","Federal result flows to K-40; Kansas sales-tax review if triggered.","Other operating income"
"4900","","Sales Discounts","income","Active","","Zoho system locked","Discounts, promotions, credits that reduce revenue. This should typically be negative.","Contra-revenue for approved discounts, credits, and concessions.","Link every amount to the originating customer document.","Schedule C line 2 returns and allowances.","Federal result flows to K-40; reconcile Kansas taxable receipts.","Contra revenue"
"5000","","Cost Of Goods Sold","cost_of_goods_sold","Active","","Zoho system locked","An expense account which tracks the value of the goods sold.","Zoho COGS control retained for a future merchandise or inventory fact pattern.","No-post under the current managed-service model; never use only to create a management subtotal.","Schedule C line 4 and Part III only if a qualifying fact pattern is approved.","No current Kansas implication; re-review if merchandise/inventory arises.","Tax COGS control"
"6000","6000","Advertising","expense","Active","","Sylvara custom","Schedule C parent for substantiated advertising and promotional costs.","Parent for substantiated advertising and promotional costs.","No-post parent; use named children.","Schedule C line 8 advertising.","Federal result generally flows to K-40; Schedule S review.","Marketing"
"6000.03","6000.03","Print Advertising","expense","Inactive","Advertising","Sylvara custom","Physical advertising such as flyers, mailers, print ads","Legacy physical advertising detail.","Inactive; no new posting. Reactivate only with actual recurring need.","Schedule C line 8 if reactivated and substantiated.","Federal result generally flows to K-40; Schedule S review.","Inactive legacy"
"6000.05","6000.05","Signage","expense","Inactive","Advertising","Sylvara custom","Physical signage and branding materials","Legacy signage and branding-material detail.","Inactive; no new posting. Review capital-asset treatment if triggered.","Schedule C line 8 or asset review based on facts.","Federal result generally flows to K-40; Schedule S/property review.","Inactive legacy"
"6010","6010","Paid Advertising","expense","Active","Advertising","Sylvara custom","Paid digital or offline media used to acquire qualified prospects.","Paid digital or offline media used to acquire prospects.","Require campaign, business purpose, vendor invoice, and approval.","Schedule C line 8 advertising.","Federal result generally flows to K-40; Schedule S review.","Marketing"
"6020","6020","Content and Creative","expense","Active","Advertising","Sylvara custom","Original marketing content design photography and video production.","Marketing content, design, photography, and video production.","Separate capitalizable assets and non-advertising work.","Schedule C line 8 advertising.","Federal result generally flows to K-40; Schedule S review.","Marketing"
"6030","6030","Sales Software and Prospect Data","expense","Active","Technology and Operations","Sylvara custom","CRM sales enablement prospect-data and outreach tools not used for customer delivery.","Sales-enablement and prospect-data tools not used for customer delivery.","Separate advertising, prepaids, capitalizable costs, and customer-delivery usage.","Schedule C Part V other expense.","Federal result generally flows to K-40; Schedule S review.","Sales and growth"
"6040","6040","Events Sponsorships and Promotions","expense","Active","Advertising","Sylvara custom","Approved events sponsorships promotions and promotional materials.","Qualifying promotional events, sponsorships, and materials.","Separate gifts, charity, entertainment, and political activity.","Schedule C line 8 advertising.","Federal result generally flows to K-40; Schedule S review.","Marketing"
"6100","6100","Technology and Operations","expense","Active","Other Expenses","Sylvara custom","Operational subgroup for indirect technology and internal systems.","Reporting subgroup for indirect technology and internal systems.","No-post subgroup; use named children.","Schedule C Part V other expense.","Federal result generally flows to K-40; Schedule S review.","Technology and operations"
"6110","6110","General Software and SaaS","expense","Active","Technology and Operations","Sylvara custom","Internal business software not directly attributable to customer delivery or R&E.","Internal software not directly attributable to customer delivery or experimental development.","Review prepaids, capitalization, and business-use allocation.","Schedule C Part V other expense.","Federal result generally flows to K-40; Kansas use-tax review only when applicable.","Technology and operations"
"6120","6120","Internal Technology and Infrastructure","expense","Active","Technology and Operations","Sylvara custom","Internal hosting storage security IT website domains and email not directly attributable to customer delivery.","Internal hosting, storage, security, IT, website, domain, and email costs.","Separate customer-delivery, prepaid, capitalizable, and experimental-development costs.","Schedule C Part V other expense.","Federal result generally flows to K-40; Kansas use-tax review only when applicable.","Technology and operations"
"6150.01","6150.01","Cable / TV","expense","Inactive","Office Expense","Sylvara custom","Media subscriptions related to operations","Legacy media-subscription detail.","Inactive; no new posting.","Schedule C line 18 or Part V only if reactivated and business-related.","Federal result generally flows to K-40; Schedule S review.","Inactive legacy"
"6150.02","6150.02","Electricity","expense","Inactive","Office Expense","Sylvara custom","Legacy dedicated-premises electricity category; do not use without a dedicated business location; pending dependency review.","Legacy dedicated-business-premises electricity detail.","Inactive; home-office costs require owner-return workpaper.","Schedule C line 25 only if a dedicated business-premises fact pattern is approved.","Federal result generally flows to K-40; local utility-tax review if triggered.","Inactive legacy"
"6150.03","6150.03","Gas","expense","Inactive","Office Expense","Sylvara custom","Legacy dedicated-premises gas category; do not use without a dedicated business location; pending dependency review.","Legacy dedicated-business-premises gas detail.","Inactive; home-office costs require owner-return workpaper.","Schedule C line 25 only if a dedicated business-premises fact pattern is approved.","Federal result generally flows to K-40; local utility-tax review if triggered.","Inactive legacy"
"6150.06","6150.06","Trash And Recycling","expense","Inactive","Office Expense","Sylvara custom","Legacy dedicated-premises waste category; do not use without a dedicated business location; pending dependency review.","Legacy dedicated-business-premises waste detail.","Inactive; home-office costs require owner-return workpaper.","Schedule C line 25 or Part V only if a dedicated premises is approved.","Federal result generally flows to K-40; local review if triggered.","Inactive legacy"
"6150.07","6150.07","Wastewater","expense","Inactive","Office Expense","Sylvara custom","Legacy dedicated-premises wastewater category; do not use without a dedicated business location; pending dependency review.","Legacy dedicated-business-premises wastewater detail.","Inactive; home-office costs require owner-return workpaper.","Schedule C line 25 only if a dedicated business-premises fact pattern is approved.","Federal result generally flows to K-40; local utility-tax review if triggered.","Inactive legacy"
"6150.08","6150.08","Water Supply","expense","Inactive","Office Expense","Sylvara custom","Legacy dedicated-premises water category; do not use without a dedicated business location; pending dependency review.","Legacy dedicated-business-premises water detail.","Inactive; home-office costs require owner-return workpaper.","Schedule C line 25 only if a dedicated business-premises fact pattern is approved.","Federal result generally flows to K-40; local utility-tax review if triggered.","Inactive legacy"
"6200","6200","Legal and Professional Services","expense","Active","","Sylvara custom","Schedule C parent for outside legal accounting tax and professional support.","Parent for outside legal, accounting, tax, and professional support.","No-post parent; use named children.","Schedule C line 17 legal and professional services.","Federal result generally flows to K-40; Schedule S review.","Professional services"
"6210","6210","Accounting and Tax","expense","Active","Legal and Professional Services","Sylvara custom","CPA tax preparation accounting advisory and return-support services.","Business accounting, tax preparation, advisory, and return support.","Separate owner-return and capital-transaction costs when required.","Schedule C line 17 legal and professional services.","Federal result generally flows to K-40; Schedule S review.","Professional services"
"6220","6220","Bookkeeping","expense","Active","Legal and Professional Services","Sylvara custom","Routine bookkeeping close and financial-administration services.","Routine bookkeeping, close, and financial-administration services.","Require approved vendor scope and deliverables.","Schedule C line 17 legal and professional services.","Federal result generally flows to K-40; Schedule S review.","Professional services"
"6230","6230","Legal","expense","Active","Legal and Professional Services","Sylvara custom","Attorney contract regulatory and legal-advisory services.","Attorney, contract, regulatory, and legal-advisory services.","Deductibility follows the underlying matter; separate capital and personal matters.","Schedule C line 17 or underlying asset/transaction based on facts.","Federal result generally flows to K-40; Schedule S review.","Professional services"
"6240","6240","Business and Strategy Consulting","expense","Active","Legal and Professional Services","Sylvara custom","Approved non-delivery business operations or strategy consulting.","Approved non-delivery operations or strategy consulting.","Separate customer-delivery, startup, and capital-project costs.","Schedule C line 17 legal and professional services.","Federal result generally flows to K-40; Schedule S review.","Professional services"
"6300","6300","Contract Labor","expense","Active","","Sylvara custom","Schedule C parent for services performed by workers not treated as employees.","Parent for services performed by workers validly treated as nonemployees.","No-post parent; require worker-classification and information-return controls.","Schedule C line 11 contract labor.","Federal result generally flows to K-40; Kansas worker/location review.","Contract labor"
"6301","6301","Direct Service Contractors","expense","Active","Contract Labor","Sylvara custom","Independent contractors directly performing managed customer service.","Independent contractors directly performing managed customer service.","Exclude employees and owner labor; require W-9, contract, work evidence, and payment reconciliation.","Schedule C line 11 contract labor.","Federal result generally flows to K-40; Kansas R&D only for separately qualifying experimental work.","Direct Service Delivery Costs"
"6302","6302","Contract Human Escalation and Quality Assurance","expense","Active","Contract Labor","Sylvara custom","Independent contractors providing human escalation or quality review.","Independent contractors providing customer escalation or quality review.","Exclude employees and owner labor; require W-9, contract, work evidence, and payment reconciliation.","Schedule C line 11 contract labor.","Federal result generally flows to K-40; Kansas worker/location review.","Direct Service Delivery Costs"
"6303","6303","Contract Implementation Labor","expense","Active","Contract Labor","Sylvara custom","Independent contractors performing approved customer setup and launch work.","Independent contractors performing customer setup and launch work.","Exclude employees and owner labor; separate experimental development and startup costs.","Schedule C line 11 contract labor.","Federal result generally flows to K-40; Kansas R&D only for separately qualifying experimental work.","Direct Service Delivery Costs"
"6310","","Salaries and Employee Wages","expense","Active","","Zoho seeded locked","Salaries for your employees and the wages paid to workers are recorded under the salaries and wages account.","Gross compensation paid through approved payroll to actual employees.","No-post until payroll exists; never use for the disregarded owner.","Schedule C line 26 wages.","Federal result generally flows to K-40; Kansas withholding/UI only if employees exist.","Employee compensation"
"6380","6380","Training and Education","expense","Active","Other Expenses","Sylvara custom","Substantiated education that maintains or improves skills used in Sylvara's business.","Education maintaining or improving skills used in the existing business.","Exclude education qualifying the owner for a new trade or profession.","Schedule C Part V other expense.","Federal result generally flows to K-40; Schedule S review.","People and capability"
"6400","6400","Office Expense","expense","Active","","Sylvara custom","Schedule C parent for office expense and consumable office supplies.","Parent for office expense and consumable office supplies.","No-post parent; use named children.","Schedule C line 18 office expense.","Federal result generally flows to K-40; Schedule S review.","Office"
"6420","6420","Office Supplies","expense","Active","Office Expense","Sylvara custom","Consumable supplies used in business operations.","Consumable office supplies used in business operations.","Capitalize longer-lived equipment when required.","Schedule C line 18 office expense.","Federal result generally flows to K-40; Kansas use-tax review when applicable.","Office"
"6450","6450","Utilities","expense","Active","","Sylvara custom","Schedule C parent for substantiated business utility and communications costs.","Parent for substantiated business utility and communications costs.","No-post parent; use named children.","Schedule C line 25 utilities.","Federal result generally flows to K-40; Schedule S review.","Utilities"
"6451","6451","Internet","expense","Active","Utilities","Sylvara custom","Business internet charges or an approved business-use allocation.","Business internet charges or documented business-use allocation.","Exclude unsupported personal use and home-office duplication.","Schedule C line 25 utilities.","Federal result generally flows to K-40; Schedule S review.","Utilities"
"6452","6452","Phone","expense","Active","Utilities","Sylvara custom","Business phone charges or an approved business-use allocation.","Business phone charges or documented business-use allocation.","Apply residential first-line and personal-use restrictions when relevant.","Schedule C line 25 utilities.","Federal result generally flows to K-40; Schedule S review.","Utilities"
"6453","6453","Voice and Telephony Usage","expense","Active","Utilities","Sylvara custom","Carrier PSTN/SIP phone-number call-routing and telecommunications transport used for customer delivery; excludes AI runtime.","Carrier, PSTN/SIP, phone-number, call-routing, and telecommunications transport for customer delivery.","Route AI runtime, inference, transcription, and orchestration to 6990.10; document inseparable bundles.","Schedule C line 25 utilities.","Federal result generally flows to K-40; vendor sales/use-tax review.","Direct Service Delivery Costs"
"6500","6500","Travel","expense","Active","","Sylvara custom","Parent for substantiated business travel away from the tax home.","Parent for substantiated overnight business travel away from the tax home.","No-post parent; do not include local vehicle costs or meals.","Schedule C line 24a travel.","Federal result generally flows to K-40; Schedule S review.","Travel"
"6510","6510","Business Lodging","expense","Active","Travel","Sylvara custom","Substantiated lodging during qualifying overnight business travel.","Lodging during qualifying overnight business travel.","Require traveler, dates, destination, business purpose, receipts, and personal allocation.","Schedule C line 24a travel.","Federal result generally flows to K-40; Schedule S review.","Travel"
"6520","","Lodging","expense","Active","","Zoho seeded locked","Any expense related to putting up at motels etc while on business travel can be entered here.","Zoho-seeded lodging control retained because its fields are locked.","No-post for new activity; use Business Lodging.","Schedule C line 24a travel if system workflow forces use.","Federal result generally flows to K-40; Schedule S review.","System controls"
"6540","6540","Deductible Meals","expense","Active","","Sylvara custom","Schedule C parent for qualifying business-meal costs recorded at full actual cost and limited in the tax workpaper.","Parent for full qualifying business-meal costs subject to tax-workpaper limitation.","No-post parent; never book only the expected deductible portion.","Schedule C line 24b after tax-workpaper limitation.","Federal result generally flows to K-40; Kansas modification review.","Meals"
"6550","6550","Business Meals - Tax Review","expense","Active","Deductible Meals","Sylvara custom","Full actual qualifying business-meal cost captured with substantiation for tax-workpaper limitation analysis.","Full actual qualifying business-meal cost captured for limitation analysis.","Require attendees, business purpose, date, place, receipt, and full actual cost.","Schedule C line 24b after tax-workpaper limitation.","Federal result generally flows to K-40; Kansas modification review.","Meals"
"6600","6600","Insurance (Other Than Health)","expense","Active","","Sylvara custom","Schedule C parent for approved business insurance premiums other than health coverage.","Business insurance premiums other than owner health coverage.","Separate employee benefits, owner health, and prepaids.","Schedule C line 15 insurance other than health.","Federal result generally flows to K-40; Schedule S review.","Insurance"
"6700","6700","Taxes and Licenses","expense","Active","","Sylvara custom","Schedule C parent for taxes and licenses legally imposed on Sylvara.","Parent for taxes and licenses legally imposed on Sylvara.","No-post parent; exclude collected sales tax and owner income/self-employment tax.","Schedule C line 23 taxes and licenses.","Federal result generally flows to K-40; Kansas entity/tax review.","Taxes and licenses"
"6710","6710","Licenses Registrations and Filing Fees","expense","Active","Taxes and Licenses","Sylvara custom","Business licenses Kansas biennial information reports registrations and regulatory filing fees.","Business licenses, registrations, information reports, and recurring filing fees.","Capitalize or amortize multi-period rights when required.","Schedule C line 23 taxes and licenses.","Federal result generally flows to K-40; no general Overland Park license found for known activity.","Taxes and licenses"
"6910","","Bank Fees and Charges","expense","Active","","Zoho system locked","Any bank fees levied is recorded into the bank fees and charges account. A bank account maintenance fee, transaction charges, a late payment fee are some examples.","Financial-institution service charges.","Use when required by bank workflows and reconcile to statements.","Schedule C Part V other expense.","Federal result generally flows to K-40; Schedule S review.","Banking and payment"
"6930","6930","Business Gifts - Section 274 Review","expense","Active","Other Expenses","Sylvara custom","Substantiated business gifts separately captured for limitation analysis.","Business gifts captured separately for limitation review.","Require recipient, relationship, business purpose, date, item, and full cost.","Schedule C Part V after tax-workpaper limitation.","Federal result generally flows to K-40; Kansas modification review.","Tax review"
"6950","","Bad Debt","expense","Active","","Zoho system locked","Any amount which is lost and is unrecoverable is recorded into the bad debt account.","Approved worthless business receivable previously included in income when required.","Restricted; require debt, prior-income, collection, worthlessness, and accounting-method evidence.","Schedule C Part V only when deduction requirements are met.","Federal result generally flows to K-40; Schedule S and accounting-method review.","Tax review"
"6990.00","6990.00","Other Expenses","expense","Active","","Zoho system locked","Any minor expense on activities unrelated to primary business operations is recorded under the other expense account.","Zoho parent for named ordinary business costs not mapped to a more specific Schedule C line.","No-post parent; use named children and separately state material categories.","Schedule C line 27b other expenses.","Federal result generally flows to K-40; Schedule S review.","Other operating expenses"
"6990.02","6990.02","Employee Gym Memberships","expense","Inactive","Other Expenses","Sylvara custom","Employee Gym Memberships","Legacy employee-gym detail without a current employee-benefit workflow.","Inactive; no new posting.","Return-specific employee-benefit or nondeductible review if triggered.","Federal result generally flows to K-40 only if deductible.","Inactive legacy"
"6990.03","6990.03","Legacy Gifts / Donations - Review","expense","Inactive","Other Expenses","Sylvara custom","Legacy mixed account for prior gifts or donations; do not use for new activity pending transaction review and inactivation.","Legacy mixed gifts/donations review account.","Inactive; use named business-gift review or owner Drawings based on facts.","Return-specific; owner charitable items are not Schedule C by default.","Owner-return or Kansas modification review based on facts.","Inactive legacy"
"6990.04","6990.04","Payment Processing Fees","expense","Active","Other Expenses","Sylvara custom","Legacy operating-expense account for merchant processing charges; retain until direct-cost presentation and dependencies are reviewed.","Merchant processing fees supported by gross-settlement reconciliation.","Preserve gross receipts, fees, refunds, reserves, disputes, and deposits.","Current Schedule C Part V; preparer may consistently select line 10 after review.","Federal result generally flows to K-40; Schedule S review.","Banking and payment"
"6990.04.01","6990.04.01","Stripe Fees","expense","Active","Payment Processing Fees","Sylvara custom","Legacy Stripe processing-fee detail; retain until settlement reconciliation, presentation, and dependencies are reviewed.","Stripe processing-fee detail supported by settlement reconciliation.","Do not post net settlements without gross reconciliation.","Current Schedule C Part V; preparer may consistently select line 10 after review.","Federal result generally flows to K-40; Schedule S review.","Banking and payment"
